#Standard_Name RA Dec ProperMotionRA ProperMotionDec Parallax V_magnitude EffectiveTemperature RadialVelocity SpectralType
HR8634 22.6910367 +10.8312889 77.22 -11.38 17 3.390 10964.78 7 3
HR7596 19.9124438 +0.273627 43.22 -13.11 8.78 5.628 8209.565 -49.8 3
HR1544 4.8435342 +8.9001804 1.41 -29.91 14.53 4.353 9014.197 24 3
HR1099 03.613136 +0.5877583 -31.45 -162.87 32.59 5.905 4811 -23 6
HR3454 8.7204097 +3.39866389 -19.39 -1.08 5.56 4.300 11117.023 21 2
HD283642 4.45532889 +26.5324056 3.9 -10.2 66.60 10.61 4426 0.0 3
HD42784 6.2259033 +18.68034167 7.19 -17.80 5.50 6.584 10266 17 3
HD27697 4.38224806 +17.5425139 106.56 -29.18 20.96 3.764 4915 39.07 6
HD34334 5.30293611 +33.3716139 31.63 -160.73 14.04 4.552 4474 -27.5 6
HR5501 14.75839 +0.717275 -41.63 -6.27 6.61 5.673 9371 -20.4 3
HR4468 11.6113648 -9.802248 -59.38 2.55 11.63 4.682 10013 1.0 2
Vega 18.6156489 +38.7836889 200.94 286.23 130.23 0.03 9603 -13.9 3
