# E. Martioli, LNA -- April 9 2015
# List of Th-Ar lines identified manually
# The reference Th-Ar spectrum is LovisPepe_ThArAtlas.dat
# 
# ordernumber wavelength[nm] distance[pix]
#
52 589.528 51.2305
52 589.593 63.2596
52 590.555 251.631
52 591.207 379.856
52 592.882 713.089
52 593.767 891.478
52 594.463 1034.45
52 595.557 1260.56
52 596.974 1560.51
52 597.506 1674.88
52 598.906 1980.76
52 599.099 2024.26
53 583.237 21.7683
53 583.425 59.8094
53 584.378 246.504
53 585.549 479.433
53 586.681 708.557
53 587.829 942.949
53 588.260 1032.49
53 588.651 1113.77
53 589.245 1238.23
53 589.984 1394.74
53 591.125 1641.02
53 591.893 1809.49
53 592.285 1895.47
53 592.881 2029.83
54 577.178 12.8506
54 577.398 56.2036
54 578.231 222.348
54 578.962 369.197
54 580.207 621.547
54 580.864 756.367
54 581.542 895.949
54 582.279 1050.84
54 583.425 1292.79
54 584.590 1544.97
54 585.550 1756.19
54 586.369 1939.25
54 586.835 2044.86
55 571.573 70.3338
55 571.962 148.272
55 572.538 264.320
55 573.606 481.517
55 574.182 600.144
55 574.873 742.553
55 576.150 1011.04
55 576.352 1052.95
55 577.394 1276.81
55 578.230 1457.85
55 579.243 1681.71
55 580.083 1869.84
55 580.768 2026.07
56 565.795 69.3539
56 566.519 215.812
56 567.501 416.977
56 568.521 628.046
56 569.641 863.758
56 570.562 1060.65
56 570.868 1125.96
56 571.717 1310.39
56 572.770 1542.87
56 573.605 1729.79
56 574.183 1860.66
56 574.874 2019.70
57 559.965 34.9581
57 560.160 74.8351
57 560.958 237.922
57 561.800 412.767
57 562.494 556.937
57 563.027 670.178
57 563.734 819.460
57 564.770 1041.71
57 565.402 1179.22
57 565.914 1291.70
57 566.711 1469.06
57 567.498 1645.47
57 568.518 1879.31
57 569.166 2029.82
58 554.287 7.87596
58 554.506 52.5425
58 555.261 208.885
58 556.420 451.166
58 557.768 737.415
58 558.236 837.640
58 559.361 1082.13
58 560.113 1247.79
58 560.957 1436.41
58 561.999 1673.10
58 563.558 2036.41
59 548.862 9.79066
59 549.319 105.338
59 549.964 240.366
59 550.430 337.739
59 551.486 562.674
59 552.459 771.897
59 553.598 1020.27
59 554.289 1173.51
59 554.816 1291.88
59 555.552 1457.96
59 556.799 1745.41
59 557.620 1938.35
59 557.936 2012.95
60 543.512 5.63125
60 544.060 120.734
60 545.166 355.535
60 546.172 571.474
60 547.077 767.584
60 547.909 951.320
60 549.434 1292.34
60 550.612 1563.07
60 551.899 1865.17
60 552.496 2007.79
61 538.293 7.30207
61 539.043 166.929
61 540.013 375.191
61 541.079 605.860
61 541.748 753.357
61 542.566 934.967
61 543.415 1125.30
61 544.061 1271.86
61 545.431 1589.19
61 546.331 1802.68
61 547.344 2046.44
62 533.174 9.35964
62 533.826 148.960
62 534.532 301.528
62 535.113 428.160
62 536.116 648.223
62 537.072 861.192
62 538.293 1138.15
62 539.256 1360.12
62 540.320 1609.51
62 541.550 1904.90
62 541.912 1993.36
63 528.162 13.7758
63 528.689 127.309
63 529.508 298.563
63 530.052 425.692
63 531.027 641.595
63 532.627 1003.04
63 533.006 1090.13
63 534.051 1332.11
63 535.459 1666.53
63 536.117 1825.06
63 536.671 1961.58
63 536.928 2025.19
64 523.322 34.9786
64 524.019 187.456
64 524.764 352.140
64 526.011 630.134
64 526.670 779.394
64 528.108 1109.35
64 529.180 1361.51
64 529.827 1515.58
64 530.698 1725.91
64 531.522 1928.28
64 531.842 2008.24
65 518.399 17.6360
65 518.744 100.604
65 519.446 249.530
65 520.516 489.138
65 521.416 692.898
65 522.127 856.351
65 522.820 1018.06
65 523.955 1283.21
65 525.281 1602.55
65 526.150 1815.66
65 526.479 1898.03
65 526.716 1957.49
66 513.748 41.0905
66 514.531 216.524
66 515.424 417.523
66 516.346 627.515
66 517.366 863.046
66 518.640 1162.47
66 519.724 1422.84
66 520.515 1615.95
66 521.416 1839.28
66 522.128 2019.83
67 509.005 25.6507
67 509.648 170.356
67 511.128 506.988
67 511.730 645.791
67 512.851 907.898
67 514.077 1198.69
67 514.821 1379.44
67 516.071 1687.47
67 516.892 1894.86
67 517.367 2016.03
68 504.472 37.6272
68 505.078 175.056
68 506.203 433.526
68 506.798 570.954
68 507.546 746.318
68 508.499 971.949
68 509.649 1249.31
68 510.974 1574.94
68 512.249 1898.62
68 512.549 1975.44
69 499.994 43.8661
69 500.210 93.1674
69 500.933 259.602
69 501.980 502.709
69 502.866 710.636
69 503.922 963.377
69 504.705 1152.42
69 505.187 1271.23
69 505.986 1486.46
69 506.933 1707.99
69 507.546 1865.20
69 508.145 2020.61
70 495.512 30.5486
70 496.172 183.420
70 497.341 456.123
70 498.248 671.229
70 499.262 915.241
70 500.359 1182.57
70 500.934 1324.84
70 501.980 1589.16
70 502.989 1848.13
70 503.673 2027.81
71 491.253 51.3839
71 492.161 264.472
71 492.777 409.542
71 493.385 553.600
71 494.667 862.414
71 495.808 1142.58
71 496.575 1333.64
71 498.931 1941.95
71 499.263 2030.06
72 486.886 29.8147
72 487.437 158.651
72 488.121 321.103
72 488.903 507.893
72 489.345 614.177
72 489.881 744.254
72 490.475 889.750
72 491.138 1053.70
72 492.293 1343.94
72 493.321 1607.44
72 494.141 1821.94
72 494.666 1961.90
73 482.670 25.2005
73 483.158 141.162
73 484.393 436.366
73 485.043 594.308
73 486.120 858.835
73 486.591 975.774
73 487.436 1187.64
73 488.120 1361.90
73 488.904 1564.80
73 489.345 1679.93
73 490.205 1908.95
73 490.475 1981.56
74 478.651 51.6693
74 479.591 276.832
74 480.961 610.300
74 482.047 879.144
74 483.112 1147.37
74 484.391 1477.58
74 485.043 1649.00
74 485.754 1838.32
74 486.317 1991.06
75 474.533 35.8818
75 475.240 207.273
75 476.110 419.554
75 476.660 554.442
75 477.427 744.770
75 478.276 958.607
75 479.209 1196.86
75 480.017 1406.59
75 481.236 1730.69
75 481.919 1915.53
75 482.361 2036.60
76 470.576 44.3054
76 471.248 208.168
76 472.210 444.542
76 473.968 885.751
76 475.240 1213.00
76 476.658 1587.20
76 477.426 1794.21
76 478.276 2028.25
77 466.652 43.7906
77 467.366 219.338
77 468.226 432.821
77 468.620 531.269
77 469.546 765.304
77 470.829 1095.08
77 471.740 1334.07
77 472.477 1530.79
77 473.205 1727.79
77 473.968 1938.34
77 474.256 2019.03
78 462.730 27.6208
78 463.723 274.423
78 464.470 461.671
78 465.198 646.180
78 465.957 840.207
78 466.652 1020.50
78 467.305 1191.79
78 467.697 1295.92
78 468.336 1466.67
78 469.408 1759.77
78 470.232 1989.67
78 470.336 2019.04
79 458.989 41.2324
79 459.541 179.171
79 460.314 373.794
79 461.124 579.330
79 462.024 811.140
79 462.729 994.911
79 463.376 1166.63
