# E. Martioli, LNA -- April 9 2015
# List of Th-Ar lines identified manually
# The reference Th-Ar spectrum is LovisPepe_ThArAtlas.dat
# 
# ordernumber wavelength[nm] distance[pix]
#
20	889.298	11.709
20	889.354	18.7697
20	890.566	176.054
20	891.087	243.846
20	894.912	751.061
20	895.585	841.808
20	896.215	927.426
20	896.763	1002.16
20	896.986	1032.57
20	897.137	1053.39
20	900.845	1572.82
20	900.988	1593.45
20	901.251	1631.22
20	901.658	1689.62
20	901.759	1704.38
20	903.182	1911.68
20	903.789	2002.55
21	875.823	67.230
21	876.044	95.970
21	876.169	112.348
21	876.676	178.820
21	877.185	247.219
21	877.280	259.742
21	877.558	296.190
21	878.455	416.449
21	879.205	517.282
21	879.905	612.494
21	880.452	685.917
21	882.035	902.667
21	884.116	1193.04
21	884.986	1317.01
21	886.882	1589.36
21	888.921	1888.75
21	889.296	1945.47
22  862.047 26.397
22  863.946 281.39
22  864.532 361.124
22  865.587 504.32
22  866.546 636.28
22  867.841 815.90
22  868.782 947.388
22  870.922 1251.34
22  873.239 1589.90
22  874.801 1822.23
22  875.824 1977.22
22  876.046 2011.22
22  876.166 2030.48
23  849.03  32.816
23  849.65  114.252
23  851.06  309.477
23  851.65  391.472
23  853.97  714.43
23  855.49  928.62
23  855.63  948.70
23  857.30  1190.22
23  857.72  1251.58
23  859.18  1465.77
23  859.31  1484.17
23  860.57  1674.94
23  861.61  1832.79
23  862.04  1899.17
24  836.60  65.722
24  836.74  85.854
24  836.94  112.515
24  837.91  229.756
24  838.46  325.385
24  839.23  430.740
24  840.37  567.430
24  841.19  708.983
24  841.66  778.139
24  841.80  795.968
24  842.13  842.432
24  844.34  1164.98
24  844.54  1194.69
24  844.65  1210.90
24  846.41  1474.56
24  847.19  1589.64
24  847.83  1690.13
24  849.03  1876.53
24  849.63  1971.62
25  824.96  169.586
25  825.23  197.557
25  825.35  215.368
25  827.55  528.743
25  828.84  711.666
25  829.72  838.749
25  831.16  1052.48
25  832.08  1189.78
25  833.04  1334.09
25  833.23  1361.18
25  835.87  1768.77
25  836.60  1884.30
25  836.75  1906.92
25  836.93  1936.29
26  812.27  55.5260
26  812.95  149.225
26  813.85  279.965
26  814.32  346.909
26  815.97  586.594
26  816.97  734.997
26  817.89  869.400
26  818.69  986.443
26  820.21  1218.54
26  820.34  1238.03
26  820.75  1299.69
26  820.94  1329.72
26  822.47  1566.28
#26  823.14  1671.49
#26  825.36  2008.46
26  825.236  2008.46
27  800.62  46.235
27  801.48  172.378
27  802.215 278.873
27  803.014 395.814
27  803.241 428.581
27  803.72  498.068
27  804.613 630.828
27  805.32  737.036
27  806.26  877.705
27  806.66  938.170
27  807.56  1075.85
27  808.52  1222.22
27  809.35  1353.38
27  810.37  1510.65
27  811.53  1695.77
27  812.27  1814.37
27  812.94  1922.84
28  789.10  13.787
28  790.03  149.100
28  791.65  386.598
28  793.77  705.509
28  794.17  766.708
28  795.46  961.536
28  795.69  998.593
28  797.26  1241.14
28  797.42  1265.29
28  797.90  1341.65
28  798.79  1484.26
28  799.36  1575.21
28  799.99  1679.09
28  800.62  1779.67
28  801.48  1922.18
29  778.24  27.344
29  778.89  125.064
29  779.83  266.457
29  781.42  505.024
29  781.77  557.444
29  783.44  812.555
29  784.17  925.215
29  784.75  1015.13
29  786.19  1242.07
29  786.60  1306.53
29  786.82  1342.82
29  788.62  1635.84
29  789.10  1715.46
29  790.02  1868.75
29  790.44  1923.58
30  767.62  33.554
30  767.81  63.031
30  768.52  170.926
30  769.17  267.697
30  769.37  298.842
30  769.89  377.261
30  770.48  466.803
30  771.02  551.895
30  771.39  606.955
30  772.89  839.986
30  773.17  885.034
30  774.25  1054.66
30  775.70  1287.14
30  777.185 1531.29
30  778.23  1703.70
30  778.89  1814.93
30  779.84  1976.61
31  757.335 48.350
31  758.57  236.368
31  758.87  292.103
31  759.82  429.211
31  760.78  578.024
31  761.83  742.999
31  762.57  860.600
31  762.72  884.009
31  762.88  910.204
31  764.47  1166.59
31  764.73  1208.39
31  765.23  1288.65
31  765.38  1315.40
31  765.83  1387.85
31  766.49  1497.65
31  767.00  1584.04
31  767.82  1720.03
31  768.53  1842.09
31  769.37  1989.23
32  747.115 30.774
32  748.136 185.941
32  748.360 222.516
32  748.435 231.519
32  748.798 289.476
32  751.872 775.074
32  752.309 845.410
32  752.545 883.672
32  753.117 974.265
32  754.924 1275.30
32  756.767 1583.09
32  758.574 1893.13
32  758.873 1957.35
33  737.210 17.9636
33  737.682 90.5369
33  738.037 146.233
33  739.300 345.950
33  740.222 490.534
33  741.168 646.370
33  741.237 655.371
33  741.862 754.949
33  742.224 816.833
33  743.016 947.353
33  743.620 1045.24
33  744.040 1115.57
33  744.467 1186.45
33  745.512 1361.98
33  746.185 1477.87
33  746.909 1597.70
33  748.132 1813.17
33  748.350 1851.43
34  728.487 153.322
34  728.542 164.783
34  731.320 583.669
34  731.508 640.399
34  731.608 655.298
34  732.478 799.129
34  732.830 856.432
34  732.954 877.061
34  734.111 1070.75
34  735.080 1231.20
34  735.334 1273.60
34  737.221 1600.23
34  737.680 1682.69
34  738.040 1746.71
34  739.287 1969.36
35  720.005 291.609
35  720.711 405.618
35  720.797 422.150
35  721.273 497.396
35  721.805 586.894
35  724.207 987.068
35  724.475 1031.53
35  726.517 1382.11
35  727.069 1477.31
35  727.289 1517.78
35  728.492 1730.98
36  710.739 268.500
36  712.452 550.422
36  712.576 571.286
36  714.225 848.119
36  714.854 955.494
36  715.029 984.501
36  715.498 1063.38
36  715.692 1097.47
36  715.885 1131.57
36  716.893 1305.61
36  720.001 1864.36
36  720.693 1992.60
36  720.798 2011.43
37  700.288 8.1538
37  701.846 268.245
37  703.026 463.453
37  703.632 563.574
37  704.583 725.221
37  707.241 1183.88
37  707.539 1235.34
37  708.411 1390.83
37  708.676 1438.37
37  708.931 1485.36
37  710.055 1688.40
37  710.751 1817.60
37  711.433 1944.57
38  691.617 4.5403
38  692.494 151.365
38  693.426 306.187
38  693.660 346.178
38  694.248 445.584
38  694.547 497.001
38  694.817 543.277
38  698.956 1264.83
38  700.080 1467.64
38  700.283 1505.92
38  701.857 1796.14
38  703.024 2015.52
39  685.412 381.730
39  686.135 506.473
39  686.342 545.206
39  686.846 630.646
39  687.132 680.771
39  687.473 738.301
39  687.959 823.741
39  688.813 976.394
39  688.927 996.900
39  691.133 1390.49
39  691.608 1481.63
39  692.502 1645.55
39  694.251 1978.18
39  694.549 2034.98
40  675.642 124.116
40  675.817 152.946
40  676.663 297.695
40  677.823 498.903
40  678.773 665.274
40  678.886 684.494
40  679.127 727.138
40  682.465 1330.76
40  682.904 1410.04
40  683.499 1519.96
40  685.411 1885.73
40  686.129 2025.08
41  667.364 81.0780
41  667.874 168.892
41  668.342 248.774
41  669.270 413.072
41  669.606 473.125
41  669.881 522.414
41  670.400 611.928
41  671.125 741.666
41  671.920 883.868
41  672.746 1035.14
41  673.367 1150.14
41  673.826 1232.29
41  674.285 1320.11
41  675.437 1535.39
41  675.640 1575.05
41  676.672 1770.51
41  677.821 2000.52
41  678.037 2042.45
42  659.340 52.5433
42  659.609 99.3418
42  659.950 157.417
42  660.361 230.152
42  661.340 404.377
42  663.206 740.424
42  664.649 1003.74
42  664.896 1047.15
42  666.878 1419.28
42  668.011 1635.80
42  669.267 1882.76
42  669.608 1951.55
42  669.887 2003.98
43  652.204 146.754
43  653.808 431.520
43  654.573 570.777
43  655.165 678.772
43  655.888 811.208
43  656.444 913.519
43  656.959 1010.15
43  657.614 1131.21
43  660.488 1683.70
43  661.339 1853.08
43  661.815 1948.00
43  661.994 1983.15
43  662.092 2005.33
44  644.190 53.4186
44  644.386 88.5460
44  644.677 140.652
44  645.000 198.905
44  645.728 330.194
44  646.261 426.941
44  646.652 499.205
44  648.306 803.701
44  649.073 946.239
44  649.319 992.921
44  650.199 1159.21
44  650.906 1294.94
44  651.236 1358.57
44  652.203 1547.68
44  653.132 1731.70
44  653.811 1867.64
44  654.571 2022.90
45  636.961 69.2558
45  637.190 113.071
45  638.469 345.026
45  638.736 394.486
45  640.646 746.966
45  642.214 1043.73
45  643.149 1225.66
45  643.768 1346.18
45  644.677 1524.69
45  645.001 1589.50
45  646.263 1842.49
45  646.653 1924.08
46  629.689 48.7091
46  630.091 122.453
46  630.763 247.252
46  633.139 689.718
46  633.764 808.843
46  634.612 971.648
46  635.588 1160.55
46  636.489 1336.40
46  637.966 1631.92
46  638.885 1818.55
46  639.406 1927.28
46  639.917 2035.50
47  622.637 39.004
47  623.490 195.887
47  624.092 308.988
47  625.050 489.586
47  626.820 827.066
47  627.147 892.129
47  627.917 1039.28
47  629.115 1277.65
47  630.088 1471.62
47  630.763 1609.05
47  632.636 1998.01
47  632.722 2016.96
48  615.711 23.4225
48  616.213 117.952
48  616.514 173.747
48  617.982 452.717
48  618.711 592.202
48  619.385 720.301
48  620.039 848.400
48  620.994 1036.49
48  623.294 1497.40
48  623.417 1523.77
48  624.613 1772.52
48  625.043 1862.51
48  625.858 2036.75
49  609.080 35.2586
49  609.806 173.391
49  610.456 297.441
49  610.556 316.905
49  611.284 456.197
49  612.138 622.862
49  612.741 737.823
49  613.868 960.448
49  615.070 1200.71
49  615.706 1331.49
49  617.308 1662.99
49  618.471 1911.16
49  618.714 1962.79
49  618.915 2004.90
50  602.512 32.4762
50  602.921 110.314
50  603.282 180.183
50  604.255 367.815
50  604.693 451.207
50  606.152 740.261
50  607.038 914.933
50  608.127 1134.12
50  609.723 1462.05
50  610.111 1547.13
50  610.686 1666.34
50  612.330 2021.59
51  596.078 26.8368
51  596.581 123.874
51  596.973 200.626
51  597.162 236.402
51  598.631 525.204
51  598.732 545.630
51  599.411 681.071
51  600.704 941.087
51  601.017 1004.21
51  602.104 1227.35
51  603.046 1423.37
51  603.768 1576.77
51  604.324 1694.83
51  604.904 1821.33
51  605.936 2048.12
52  589.985 62.3372
52  590.556 174.609
52  591.209 303.063
52  591.895 438.860
52  592.883 636.274
52  593.766 815.202
52  594.467 958.409
52  596.974 1482.32
52  597.503 1596.56
52  598.730 1863.51
52  599.099 1945.93
52  599.412 2015.63
53  583.894 72.9845
53  584.380 169.683
53  584.593 211.493
53  585.269 347.029
53  585.410 375.562
53  586.030 500.398
53  586.372 568.959
53  587.119 720.545
53  588.259 956.057
53  589.984 1317.54
53  591.208 1580.73
53  591.895 1730.99
53  592.882 1950.48
53  592.993 1975.82
54  577.741 46.0348
54  578.233 144.454
54  579.853 470.039
54  580.209 544.426
54  580.573 619.385
54  582.276 973.008
54  582.913 1106.90
54  584.380 1421.62
54  585.966 1769.76
54  586.686 1929.33
54  586.834 1965.70
54  586.983 2000.39
54  587.114 2029.49
55  571.715 19.7599
55  572.145 106.190
55  572.772 234.152
55  573.297 341.815
55  573.606 402.991
55  574.115 510.049
55  576.272 960.145
55  577.211 1160.24
55  577.744 1273.73
55  578.166 1366.38
55  579.730 1713.10
55  580.574 1901.18
55  580.761 1946.74
56  566.298 94.7307
56  566.509 137.125
56  567.503 339.929
56  567.706 380.605
56  568.513 550.182
56  569.159 688.249
56  570.084 882.460
56  570.712 1013.08
56  571.959 1286.35
56  572.536 1413.53
56  573.606 1649.57
56  574.176 1782.48
56  574.872 1942.89
56  575.304 2042.57
57  560.446 54.0553
57  560.674 101.605
57  561.207 210.455
57  561.537 276.911
57  563.025 592.576
57  563.329 655.021
57  563.969 793.662
57  564.654 937.458
57  565.069 1029.69
57  565.788 1188.39
57  566.302 1300.67
57  566.716 1391.19
57  567.493 1566.50
57  568.524 1800.81
57  569.167 1952.05
58  554.812 35.1497
58  555.702 223.632
58  555.984 282.640
58  556.807 453.935
58  557.122 520.391
58  557.331 568.514
58  557.938 695.697
